AM KPI ID,KPI Target
AM-Institutions Engaged,50
AM-Institutions Engaged Stretched,100
AM-Talent Benefitted,"20,000"
AM-Ambassador Recruited,25
AM-New Institutions Onboarded,10
AM-Faculty Engaged,100
